"The requested quantity for ""%s"" is not available.","""%s"" adlı ürün için talep ettiğiniz miktar stokta bulunmamaktadır. %s adet ürün temin edilmek üzere sipariş edilecektir."
"%s is available for purchase in increments of %s","%s ürünü sadece %s adet ve katları olarak sipariş edilebilir."
"%s is not a correct comparsion method.","%s geçerli bir karşılaştırma yöntemi değil."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Not:</strong> Bu ayarlar sadece sipariş satırlarını etkiler, siparişin genelini etkilemez."
"Add Minimum Qty","Minimum Miktar Ekle"
"Allow Qty Below 0","Eksi Siparişe İzin Ver"
"Allow Qty Below 0 and Notify Customer","Eksi Siparişe İzin Ver ve Müşteriyi Haberdar Et"
"Automatically Return Credit Memo Item to Stock","Alacak Kaydına Konu Olan Ürünü Stoklara Geri Ekle"
"Backorders","Ardışık Ismarlama"
"By Fixed value","Sabit Değer İle"
"By Percentage","Yüzde İle"
"Cannot specify product identifier for the order item.","Siparişteki ürünün tanımlayıcısı bulunamadı."
"Catalog Inventory","Katalog Envanteri"
"Decrease Stock When Order is Placed","Sipariş verildiğinde stoktan düş"
"Display Out of Stock Products","Stokta Olmayan Ürünleri Göster"
"Display products availability in stock in the frontend","Ürün stok durumunu önyüzde göster"
"Enable Qty Increments","Miktar Katlarını Etkinleştir"
"In Stock","Stokta var"
"Index Product Stock Status","Ürün stok durumunu endeksle"
"Inventory","Envanter"
"Inventory API","Envanter API si"
"Inventory Section","Envanter Bölümü"
"Manage Stock","Stok Yönetimi"
"Maximum Qty Allowed in Shopping Cart","Alışveriş Sepetinde İzin Verilen Maksimum Miktar"
"Minimum Qty","Minimum Miktar"
"Minimum Qty Allowed in Shopping Cart","Alışveriş Sepetinde İzin Verilen Minimum Miktar"
"Multi update product stock data","Ürün stok bilgilerini güncelle"
"No Backorders","Ardışık Sipariş Kabul Edilemez"
"Not all products are available in the requested quantity","Tüm ürünler istediğiniz miktarda bulunmamaktadır"
"Notify for Quantity Below","Miktar Altına Düşünce Haber Ver"
"Only X left Threshold","Sadece X Kaldı Seviyesi"
"Out of Stock","Stokta Yok"
"Product Stock Options","Ürün Stok Opsiyonları"
"Products will still be shown by direct product URLs.","Ürünler hala direkt ürün URL'leri ile gösterilecektir."
"Qty Increments","Miktar Katları"
"Qty for Item's Status to Become Out of Stock","Stok Durumunun “Stokta Yok” olması için gerekli miktar"
"Retrieve stock data","Stok bilgisini getir"
"Retrieve stock data by product ids","Ürün numarasına göre stok bilgisini getir"
"Rule price","Kural fiyatı"
"Set Items' Status to be In Stock When Order is Cancelled","Sipariş iptal edildiğinde Ürünlerin durumunu “Stokta Var” olarak güncelle"
"Some of the products are currently out of stock.","Bazı ürünler halen “Stokta Yok” durumundadır"
"Some of the products cannot be ordered in requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Some of the products cannot be ordered in the requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Stock Options","Stok Opsiyonları"
"Stock Status","Stok Durumu"
"The maximum quantity allowed for purchase is %s.","İzin verilen maksimum sipariş miktarı %s."
"The minimum quantity allowed for purchase is %s.","İzin verilen minimum sipariş miktarı %s."
"The requested quantity for ""%s"" is not available.","“%s” adlı ürün için istemiş olduğunuz miktar bulunmamaktadır."
"The stock item for Product in option is not valid.","Seçenekteki üründeki stok kaydı hatalıdır."
"The stock item for Product is not valid.","Bu ürün için seçtiğiniz malzeme kullanılamaz."
"This product is available for purchase in increments of %s only.","Bu ürün sadece  %s ve katları olarak satın alınabilir."
"This product is currently out of stock.","Bu ürün stoklarda bulunmamaktadır."
"This product is not available in the requested quantity. %s of the items will be backordered.","Bu ürün talep ettiğiniz miktarda stokta bulunmamaktadır. %s adet ürün temin edilmek üzere sipariş edilecektir."
"To Fixed Value","Sabit Değere Uygula"
"To Percentage","Yüzdeye Uygula"
"Undefined product type.","Belirlenmemiş ürün tipi."
"Update","Güncelle"
"Update product stock data","Ürün stok bilgilerini güncelle"
"Update the Product","Ürünü güncelle"
